id	uuid	coa_cd	coa_name	weight	risk_weight_1	risk_weight_2	risk_weight_3	risk_weight_4	risk_weight_5	risk_weight_6	risk_weight_7	risk_weight_8	risk_weight_9	risk_weight_10	risk_weight_11	risk_weight_12	risk_weight_13	risk_weight_14	risk_weight_15	risk_weight_16	risk_weight_17	risk_weight_18	risk_weight_19	risk_weight_20	risk_weight_21	risk_weight_22	risk_weight_23	risk_weight_24
48	ef39cbeb-98f0-4cf5-addb-bb32fff9c050	1_3_1_1_2_2_2_1	金融市场部_交易性央票投资_非司库_银行账户_1Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
49	aa4294ef-3e4e-4d78-a7c3-583c9f6f5905	1_3_1_1_2_2_2_2	金融市场部_交易性央票投资_非司库_银行账户_3Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
50	6787b7bb-bfd0-41ef-a79e-3d3afc11b6e8	1_3_1_1_2_2_2_3	金融市场部_交易性央票投资_非司库_银行账户_5Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
51	0bd4730b-92cc-4cfb-ae18-04ad07199061	1_3_1_1_2_2_2_4	金融市场部_交易性央票投资_非司库_银行账户_10Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
52	d14ca4ef-b2a5-46d8-a981-b1dca0c2b122	1_3_1_1_3_1_1	金融市场部_交易性地方政府债投资_司库_1Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
53	65e4dc8d-3b4d-4af4-90bf-63dc65e618ea	1_3_1_1_3_1_2	金融市场部_交易性地方政府债投资_司库_3Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
54	a0814c7c-1789-4069-8f7e-e7f6b56a24c8	1_3_1_1_3_1_3	金融市场部_交易性地方政府债投资_司库_5Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
55	96c58570-e071-4c5d-88cb-3594c0b85c67	1_3_1_1_3_1_4	金融市场部_交易性地方政府债投资_司库_10Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
56	25871301-1cce-4b92-aca5-2750d55c2103	1_3_1_1_3_2_1_1	金融市场部_交易性地方政府债投资_非司库_交易账户_1Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
57	6f5128dc-f901-4c2f-853f-65631a7893f4	1_3_1_1_3_2_1_2	金融市场部_交易性地方政府债投资_非司库_交易账户_3Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
58	ccb696af-c8ab-4867-8605-2bec07130bce	1_3_1_1_3_2_1_3	金融市场部_交易性地方政府债投资_非司库_交易账户_5Y	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
